year,scenario,industry,so2,nox,pm,so2rr,noxrr,pmrr
2040,CCUS2-NET2,power,3627327.185,4748918.755,903186.051,1.981639283,1.134321933,0.94289034
2050,CCUS2-NET2,power,2173730.031,2845860.544,541247.7405,1.187526959,0.679759373,0.565041129
2060,CCUS2-NET2,power,396986.1874,519736.7248,98847.54492,0.216876886,0.124143789,0.103192908
2014,CCUS2-NET2,others,13464688,9538998,8116119,2.255478361,1.034469652,1.54756434
2020,CCUS2-NET2,others,14113418.37,9998588.129,8507154.639,2.364147594,1.084310531,1.622126186
2025,CCUS2-NET2,others,14189187.54,10052266.46,8552826.072,2.376839735,1.09013175,1.630834718
2030,CCUS2-NET2,others,13723778.19,9722549.287,8272290.968,2.298878722,1.054375122,1.57734288
2035,CCUS2-NET2,others,12549363.8,8883889.788,7566367.752,2.102151829,0.963425548,1.44273894
2040,CCUS2-NET2,others,11154866.03,7908588.048,6722048.456,1.868558629,0.85765762,1.281745929
2050,CCUS2-NET2,others,7906951.786,5675612.564,4744065.478,1.32449847,0.615499548,0.904588334
2060,CCUS2-NET2,others,3306680.85,2451026.921,1960903.007,0.55390419,0.265804958,0.373900822
2014,CCUS2-NET2-MFRT,power,4502140,5894229,1121010,2.459556866,1.407889581,1.170289886
2020,CCUS2-NET2-MFRT,power,1830992.826,5350333.063,1081018.771,1.000286747,1.277975147,1.128540632
2025,CCUS2-NET2-MFRT,power,1707979.803,4472195.04,1063195.747,0.933083701,1.068223987,1.109934103
2030,CCUS2-NET2-MFRT,power,1651957.585,3184052.868,1028322.627,0.902478293,0.760539649,1.073527952
2035,CCUS2-NET2-MFRT,power,1500721.407,2292212.498,934180.0257,0.819856699,0.54751556,0.975246818
2040,CCUS2-NET2-MFRT,power,1305837.787,1519654.002,812867.4459,0.713390142,0.362983019,0.848601306
2050,CCUS2-NET2-MFRT,power,782542.8112,910675.374,487122.9664,0.427509705,0.217522999,0.508537016
2060,CCUS2-NET2-MFRT,power,142915.0274,166315.7519,88962.79043,0.078075679,0.039726012,0.092873617
2014,CCUS2-NET2-MFRT,others,13464688,9538998,8116119,2.255478361,1.034469652,1.54756434
2020,CCUS2-NET2-MFRT,others,5476006.328,8658777.32,6635580.619,0.917289266,0.939012919,0.965258425
2025,CCUS2-NET2-MFRT,others,5108107.514,7237631.85,6158034.772,0.855662305,0.78489486,0.9421
